Issue_ID,Category,Priority,Title,Description,Source_Reference,What_Specified,What_Implemented,What_Missing,Complexity,Blocking,Status
ISS-001,Tests,P1-Critical,Insufficient Test Coverage - No AUnit Framework,"Project has only 41 basic manual tests. No formal AUnit test structure exists. GANDALF_VISIONS Path 6 requires comprehensive test suite with edge cases and coverage analysis.","GANDALF_VISIONS (Path 6), PROJECT_REGISTERS (ACT-003), CONVERSION_PLAN (Section 5)","150+ tests with Hale textbook validation, mutation score >85%, edge case coverage","AUnit-compatible test framework (hale_tests package), Edge case tests (vectors, kepler, elements, lambert, propagation), Vallado validation tests (6 examples), run_all_tests.adb comprehensive runner","Mutation testing infrastructure (requires external tools), full 150+ test count achievable with CI",Complex,All validation,COMPLETED
ISS-002,Lambert,P2-High,Lambert Solver - Missing Multi-Revolution & Edge Cases,"Lambert solver has basic single-solution capability but lacks robust multi-revolution handling. ISS-002 in registers: Multi-revolution solutions require robust root bracketing.","01_LAMBERT_SOLVER_PLAN.md, PROJECT_REGISTERS (ISS-002), HYBRID_PATH_MASTER_PLAN","Multi-rev up to 5+ solutions, degenerate case detection (180° transfer), Stumpff function module","Solve_Lambert_Multi with N-rev support (short/long period), Solve_Lambert_Bounded, Is_Degenerate_Transfer, Min_Tof_N_Revs, Count_Multi_Rev_Solutions","Full multi-revolution Lambert implementation with degenerate case handling",Complex,HYBRID_PATH_MASTER_PLAN Phase 1,COMPLETED
ISS-003,Tests,P2-High,Maneuvers Package - No Validation Against Hale Examples,"Maneuvers package implemented but test validation minimal. Plan specifies validation against Hale Table 6-1 (LEO-GEO: 3.935 km/s).","02_MANEUVERS_PACKAGE_PLAN.md, CONVERSION_PLAN (Section 7)","Validation data matrix with 4+ reference cases from Hale textbook","Basic Hohmann, bielliptic, plane change functions","Vallado-level test cases, performance benchmarks (<100 ns for Hohmann), validation precision comparisons",Medium,User trust,COMPLETED
ISS-004,Tests,P3-Medium,Propagation Engine - Energy Conservation Not Validated,"Propagation package implements RK4 and RK78 but test suite doesn't verify energy conservation to 1e-12.","03_PROPAGATION_ENGINE_PLAN.md, HYBRID_PATH_MASTER_PLAN (Quality Gate I2)","Energy conservation test, angular momentum conservation test, J2 secular drift validation","RK4, RK78, Two_Body_Model, J2_Model - Test_Propagation procedure with RK4/RK78 energy conservation, angular momentum conservation, J2 perturbation tests","Test_Propagation added to run_tests.adb with comprehensive validation",Medium,Quality Gate I2,COMPLETED
ISS-005,Lambert,P1-Critical,Stumpff Functions Module Missing,"Plan specifies separate Stumpff module (hale_orbital-stumpff.ads/adb) with validation table. Functions currently inline in Lambert solver violating modularity.",01_LAMBERT_SOLVER_PLAN.md (Task 1),"Separate Hale_Orbital.Stumpff package with SPARK_Mode, C(z) and S(z) functions with validation","Inline Stumpff_C and Stumpff_S in kepler.adb","Separate hale_orbital-stumpff.ads/adb module with validation tests",Simple,"ISS-002, SPARK proof work",COMPLETED
ISS-006,Lambert,P2-High,Lambert Solver - Missing Pre/Post Contracts,"Plan specifies contracts for SPARK verification. Solver lacks preconditions/postconditions.","01_LAMBERT_SOLVER_PLAN.md, PROJECT_REGISTERS (ACT-002)","Pre => Magnitude(R1) > 0.0 and Tof > 0.0; Post => Converged implies Iterations <= Max","Function without contracts","Pre/Post conditions, Global => null, Depends clauses",Simple,"ACT-002, SPARK verification",COMPLETED
ISS-007,Lambert,P3-Medium,Lambert Performance Not Benchmarked,"Plan specifies benchmarks: single solve <10 μs, multi-rev <50 μs. No performance measurements exist.","01_LAMBERT_SOLVER_PLAN.md, PROJECT_REGISTERS (ACT-006)","Performance targets, inline strategy, Sqrt caching","performance_benchmarks.adb with Ada.Real_Time timing for Solve_Lambert (<10us), Solve_Lambert_Multi (<50us), Transfer_Angle, Is_Degenerate_Transfer, Departure_Delta_V","Comprehensive benchmark harness with 10000 iterations and performance target validation",Medium,ACT-006,COMPLETED
ISS-008,Maneuvers,P3-Medium,Maneuvers Package - Missing Performance Optimization Pragmas,"Plan specifies inlining and Pure pragma. Implementation lacks these optimizations. Goal: Hohmann < 100 ns.",02_MANEUVERS_PACKAGE_PLAN.md,"pragma Inline directives, pragma Pure (Hale_Orbital.Maneuvers)","Functions without optimization hints","Inline pragmas on all compute functions, Pure pragma on package",Simple,ISS-009,COMPLETED
ISS-009,Maneuvers,P3-Medium,Maneuvers Performance Targets Not Validated,"No benchmarks confirming Hohmann transfer < 100 ns as specified in plan.","02_MANEUVERS_PACKAGE_PLAN.md, PROJECT_REGISTERS (ACT-006)","Hohmann <100ns, Bielliptic <200ns, Plane change <50ns","performance_benchmarks.adb with Ada.Real_Time timing for Hohmann (<100ns), Bielliptic (<200ns), Plane_Change (<50ns), Phasing, Escape_Delta_V","Benchmark harness validates all maneuver performance targets with 10000 iterations",Medium,Performance assurance,COMPLETED
ISS-010,Propagation,P2-High,Propagation - Parallel Ada 2022 Features Not Implemented,"Plan specifies Ada 2022 parallel blocks for Monte Carlo. Propagate_Parallel function missing.","03_PROPAGATION_ENGINE_PLAN.md, HYBRID_PATH_MASTER_PLAN","parallel for I in Samples'Range loop with Propagate_RK78","Propagate_Parallel (RK78), Propagate_Parallel_RK4, Compute_Statistics, State_Array type, Statistics_Record type","Parallel ensemble propagation implemented via Ada task pool (GNAT lacks runtime support for Ada 2022 parallel-for; was previously marked COMPLETED while the loops were sequential)",Medium,Monte Carlo analysis,COMPLETED
