"ID","Package","File","Line","Decision Type","Condition","True Path Test","False Path Test","Status","Notes"
"DEC-KEP-001","Hale_Orbital.Kepler","hale_orbital-kepler.adb",32,"if","Eccentricity < 0.0 or Eccentricity >= 1.0","Test with e = -0.1 or e = 1.0","Test with e = 0.5","Pending","Input validation"
"DEC-KEP-002","Hale_Orbital.Kepler","hale_orbital-kepler.adb",37,"if","Eccentricity < High_Eccentricity_Threshold","Test with e = 0.5","Test with e = 0.85","Pending","Initial guess selection"
"DEC-KEP-003","Hale_Orbital.Kepler","hale_orbital-kepler.adb",51,"if","abs(F_Prime) < 1.0e-15","Test with pathological case","Normal convergence","Pending","Defensive: derivative too small"
"DEC-KEP-004","Hale_Orbital.Kepler","hale_orbital-kepler.adb",59,"exit when","abs(Delta) < Tolerance","Normal convergence","Tight tolerance","Pending","Loop exit (convergence)"
"DEC-KEP-005","Hale_Orbital.Kepler","hale_orbital-kepler.adb",61,"if","Iter >= Max_Iter","Max_Iter = 1","Normal iterations","Pending","Loop exit (max iter)"
"DEC-KEP-006","Hale_Orbital.Kepler","hale_orbital-kepler.adb",79,"if","Eccentricity <= 1.0","Test with e = 0.9","Test with e = 1.5","Pending","Input validation"
"DEC-KEP-007","Hale_Orbital.Kepler","hale_orbital-kepler.adb",84,"if","abs(M) < 1.0","Test with M = 0.5","Test with M = 2.0","Pending","Initial guess selection"
"DEC-KEP-008","Hale_Orbital.Kepler","hale_orbital-kepler.adb",88,"if","M < 0.0","Test with M = -1.0","Test with M = 1.0","Pending","Sign correction"
"DEC-KEP-009","Hale_Orbital.Kepler","hale_orbital-kepler.adb",104,"if","abs(F_Prime) < 1.0e-15","Pathological case","Normal convergence","Pending","Defensive: derivative too small"
"DEC-KEP-010","Hale_Orbital.Kepler","hale_orbital-kepler.adb",112,"exit when","abs(Delta) < Tolerance","Normal convergence","Tight tolerance","Pending","Loop exit (convergence)"
"DEC-KEP-011","Hale_Orbital.Kepler","hale_orbital-kepler.adb",114,"if","Iter >= Max_Iter","Max_Iter = 1","Normal iterations","Pending","Loop exit (max iter)"
"DEC-KEP-012","Hale_Orbital.Kepler","hale_orbital-kepler.adb",197,"if","abs(F_Prime) < 1.0e-15","Pathological case","Normal convergence","Pending","Defensive: derivative too small"
"DEC-KEP-013","Hale_Orbital.Kepler","hale_orbital-kepler.adb",205,"exit when","abs(Delta) < Tolerance","Normal convergence","Tight tolerance","Pending","Loop exit (convergence)"
"DEC-KEP-014","Hale_Orbital.Kepler","hale_orbital-kepler.adb",207,"if","Iter >= Max_Iter","Max_Iter = 1","Normal iterations","Pending","Loop exit (max iter)"
"DEC-KEP-015","Hale_Orbital.Kepler","hale_orbital-kepler.adb",230,"if","E > 1.0 - Parabolic_Threshold","Test with e = 0.9999999999","Test with e = 0.9","Pending","Near-parabolic check"
"DEC-KEP-016","Hale_Orbital.Kepler","hale_orbital-kepler.adb",249,"if","Dt < 0.0","Test TOF past 2pi","Test positive TOF","Pending","Time wrap handling"
"DEC-KEP-017","Hale_Orbital.Kepler","hale_orbital-kepler.adb",267,"if","E <= 1.0","Test with e = 0.9","Test with e = 1.5","Pending","Input validation"
"DEC-KEP-018","Hale_Orbital.Kepler","hale_orbital-kepler.adb",294,"if-elsif-else","E < 1.0 - Parabolic_Threshold","Test e = 0.5","Test e = 1.0","Pending","Orbit type dispatch"
"DEC-KEP-019","Hale_Orbital.Kepler","hale_orbital-kepler.adb",296,"elsif","E > 1.0 + Parabolic_Threshold","Test e = 1.5","Test e = 1.0","Pending","Hyperbolic path"
"DEC-KEP-020","Hale_Orbital.Kepler","hale_orbital-kepler.adb",338,"if","Dt_Val = 0.0","Test with Dt = 0","Test with Dt > 0","Pending","Zero propagation time"
"DEC-KEP-021","Hale_Orbital.Kepler","hale_orbital-kepler.adb",345,"if","abs(Alpha) < 1.0e-10","Near-parabolic orbit","Elliptic/hyperbolic","Pending","Orbit type detection"
"DEC-LAM-001","Hale_Orbital.Lambert","hale_orbital-lambert.adb",41,"if","Y < 0.0","Extreme Z values","Normal Z values","Pending","Non-physical region"
"DEC-LAM-002","Hale_Orbital.Lambert","hale_orbital-lambert.adb",45,"if","abs(A_Min) < Small_Threshold","Pathological geometry","Normal geometry","Pending","Division safety"
"DEC-LAM-003","Hale_Orbital.Lambert","hale_orbital-lambert.adb",106,"if","Cos_Dnu > 1.0","Numerical overflow case","Normal case","Pending","Clamp for safety"
"DEC-LAM-004","Hale_Orbital.Lambert","hale_orbital-lambert.adb",108,"elsif","Cos_Dnu < -1.0","Numerical underflow case","Normal case","Pending","Clamp for safety"
"DEC-LAM-005","Hale_Orbital.Lambert","hale_orbital-lambert.adb",118,"if","Long_Way","Long_Way = True","Long_Way = False","Pending","Boolean parameter"
"DEC-LAM-006","Hale_Orbital.Lambert","hale_orbital-lambert.adb",119,"if","Cross_Z >= 0.0","Positive cross product","Negative cross product","Pending","Direction modifier"
"DEC-LAM-007","Hale_Orbital.Lambert","hale_orbital-lambert.adb",125,"if","Cross_Z >= 0.0","Positive cross product","Negative cross product","Pending","Short-way direction"
"DEC-LAM-008","Hale_Orbital.Lambert","hale_orbital-lambert.adb",134,"if","Long_Way","Long_Way = True","Long_Way = False","Pending","Transfer angle adjustment"
