Issue_ID,Severity,Category,Package_File,Description,DO178C_Reference,Recommendation,Status
ISS-001,Critical,Contracts,hale_orbital-kepler.ads:33,Solve_Kepler_Elliptic Post contract is trivial (True) - provides no verification that result is valid eccentric anomaly in [0 2*Pi] satisfying Kepler equation,6.5.7 Computational Correctness,Add Post => Result in 0..Two_Pi and abs(Result - E*Sin(Result) - Mean_Anomaly) < Tolerance,Open
ISS-002,Critical,Contracts,hale_orbital-kepler.ads:43,Solve_Kepler_Hyperbolic has no Post contract - no guarantee result satisfies hyperbolic Kepler equation,6.5.7 Computational Correctness,Add postcondition verifying E*Sinh(H) - H = M within tolerance,Open
ISS-003,Critical,Contracts,hale_orbital-kepler.ads:50,Solve_Kepler_Parabolic has no Pre/Post contracts - no validation of inputs or output bounds,6.5.3 Requirements Traceability,Add Pre/Post contracts for mean anomaly range and output validity,Open
ISS-004,Critical,Contracts,hale_orbital-lambert.ads:47-61,Solve_Lambert Post only validates when Converged=True but missing physical validity checks on A E and velocity magnitudes,6.5.7 Computational Correctness,Add postconditions for velocity magnitude consistency and energy conservation,Open
ISS-005,Critical,Contracts,hale_orbital-twobody.ads:26-29,Specific_Energy has no Pre contract - division by R_Mag at line 30 not guarded,6.5.3 Contract Completeness,Add Pre => Magnitude(R) > Small_Threshold and Mu > 0.0,Open
ISS-006,Critical,Contracts,hale_orbital-twobody.ads:63-66,Vis_Viva has no Pre contract checking R > 0 and A != 0 - potential division by zero,6.5.3 Contract Completeness,Add Pre => R > 0.0 and abs(A) > Small_Threshold and Mu > 0.0,Open
ISS-007,Critical,Numerical,hale_orbital-twobody.adb:164-168,Radius_At_True_Anomaly denominator threshold 1.0e-15 undocumented - no precision loss analysis,6.5.9 Mathematical Correctness,Document threshold justification with condition number analysis,Open
ISS-008,Critical,Numerical,hale_orbital-twobody.adb:177-182,Semi_Major_Axis threshold 1.0e-15 not documented for DO-178C traceability,6.5.9 Mathematical Correctness,Create numerical analysis document justifying all thresholds,Open
ISS-009,Critical,Numerical,hale_orbital-kepler.adb:51-53,Solve_Kepler_Elliptic F_Prime threshold 1.0e-15 lacks rigorous justification,6.5.9 Mathematical Correctness,Add DEC document for numerical threshold selection rationale,Open
ISS-010,Critical,Numerical,hale_orbital-lambert.adb,Solve_Lambert divisions by Sqrt(C_Z) and C_Z without explicit pre-checks for C_Z > 0,6.5.9 Mathematical Correctness,Add explicit guards or prove C_Z > 0 via SPARK,Resolved 2026-07-13 (denominator guards + finiteness gate; solver also restored to the standard universal-variable formulation)
ISS-011,Critical,Testing,ada/tests/,No negative test cases for invalid inputs - missing tests for e>=1 negative SMA NaN handling,A-6.3.1 Test Completeness,Add systematic invalid input test suite with expected exceptions,Open
ISS-012,Critical,Testing,ada/tests/,No exception path tests - Assertion_Error and Constraint_Error never tested,A-7.2 Exception Paths,Add exception handler tests verifying contract enforcement,Open
ISS-013,Critical,Testing,ada/tests/hale_tests-periodic_orbits.adb,RTM claims Lyapunov/Halo orbit test coverage but tests not implemented - only STM tests exist,A-6.1.2 Requirements Coverage,Implement tests for HLR-3B-033 through HLR-3B-035 or correct RTM,Open
ISS-014,Critical,Documentation,Missing,PSAC (Plan for Software Aspects of Certification) not found,11.1.1 PSAC Required,Create PSAC document per DO-178C Section 11.1,Open
ISS-015,Critical,Documentation,Missing,SDP (Software Development Plan) not found,11.2.1 SDP Required,Create SDP document per DO-178C Section 11.2,Open
ISS-016,Critical,Documentation,Missing,SVP (Software Verification Plan) not found,11.3.1 SVP Required,Create SVP document per DO-178C Section 11.3,Open
ISS-017,Critical,Documentation,Missing,SCMP (Software Configuration Management Plan) not formal - Git-based but undocumented,11.4.1 SCMP Required,Create formal SCMP documenting Git procedures and baselines,Open
ISS-018,Critical,Documentation,Missing,SQAP (Software Quality Assurance Plan) not found,11.5.1 SQAP Required,Create SQAP document per DO-178C Section 11.5,Open
ISS-019,Critical,Traceability,docs/certification/rtm.md,Non-functional requirements not traced - performance reliability safety accuracy not in RTM,11.6.2.5 Requirements Traceability,Expand RTM to include NFRs with test/verification mapping,Open
ISS-020,Critical,Traceability,docs/certification/rtm.md,Error handling requirements not traced - exception conditions not mapped to requirements,11.6.2 Requirements Completeness,Add error handling requirements section to RTM,Open
ISS-021,Critical,CM,Missing,No formal change control procedure documented - GitHub Issues used but not formalized,11.4.2 Change Control,Document formal CR process CCB and approval workflow,Open
ISS-022,Major,Contracts,hale_orbital-twobody.ads:87-89,Orbital_Period has no Pre contract - runtime check exists but should be contractual,6.5.3 Contract Completeness,Add Pre => A > 0.0 and Mu > 0.0,Open
ISS-023,Major,Contracts,hale_orbital-elements.ads:62-64,True_To_Eccentric_Anomaly no Pre contract for 0 <= E < 1,6.5.3 Contract Completeness,Add Pre => Eccentricity >= 0.0 and Eccentricity < 1.0,Open
ISS-024,Major,Contracts,hale_orbital-elements.ads:102-104,True_To_Hyperbolic_Anomaly no Pre contract for E > 1,6.5.3 Contract Completeness,Add Pre => Eccentricity > 1.0,Open
ISS-025,Major,Contracts,hale_orbital-lambert.ads:65-75,Solve_Lambert_Multi no Pre contract validation despite complexity,6.5.3 Contract Completeness,Add Pre contracts matching Solve_Lambert,Open
ISS-026,Major,Numerical,hale_orbital-elements.adb:447,True_To_Hyperbolic_Anomaly division by (1.0-Tanh_H2) - rounding could make denominator zero,6.5.9 Mathematical Correctness,Strengthen guard to include epsilon margin,Open
ISS-027,Major,Loop Invariants,hale_orbital-kepler.adb:44-64,Solve_Kepler_Elliptic loop invariant only checks iteration count - missing convergence progress,6.5.11 Loop Invariants,Add invariants for F_Prime bounds and |Delta| monotonicity,Open
ISS-028,Major,Loop Invariants,hale_orbital-kepler.adb:93-117,Solve_Kepler_Hyperbolic loop invariant insufficient - no convergence verification,6.5.11 Loop Invariants,Add invariants for derivative bounds and solution progress,Open
ISS-029,Major,Loop Invariants,hale_orbital-kepler.adb:174-210,Solve_Kepler_Universal loop invariant insufficient - Z range and R_Mag not verified,6.5.11 Loop Invariants,Add invariants for Z validity and positive R_Mag,Open
ISS-030,Major,Loop Invariants,hale_orbital-lambert.adb:165-217,Solve_Lambert bisection loop invariant missing bracket verification,6.5.11 Loop Invariants,Add invariant for Z_Low < Z < Z_High and F signs,Open
ISS-031,Major,Loop Invariants,hale_orbital-elements.adb:34-39,Normalize_Angle while loop lacks Loop_Invariant pragma,6.5.11 Loop Invariants,Add Loop_Invariant for convergence to [0 2*Pi),Open
ISS-032,Major,FP Comparison,hale_orbital-kepler.adb:37,Exact comparison E < 0.8 - should use tolerance-based threshold,6.5.9 Robustness,Use E < (1.0 - Circular_Threshold) for consistency,Open
ISS-033,Major,FP Comparison,hale_orbital-elements.adb:338,Exact comparison E >= 1.0 - inconsistent with other boundary checks,6.5.9 Robustness,Use E > (1.0 - Parabolic_Threshold) per codebase patterns,Open
ISS-034,Major,Output Range,hale_orbital-twobody.ads:26-29,Specific_Energy no Post contract on output range for orbit type classification,6.5.7 Computational Correctness,Add Post contract documenting energy interpretation,Open
ISS-035,Major,Output Range,hale_orbital-twobody.ads:63-66,Vis_Viva no Post contract - should guarantee Result >= 0.0,6.5.7 Computational Correctness,Add Post => Result >= 0.0,Open
ISS-036,Major,Output Range,hale_orbital-twobody.ads:70-72,Circular_Velocity no Post contract guaranteeing Result > 0.0,6.5.7 Computational Correctness,Add Post => Result > 0.0,Open
ISS-037,Major,Output Range,hale_orbital-kepler.ads:68-75,Solve_Kepler_Universal no Post contract on result validity,6.5.7 Computational Correctness,Add postcondition for valid orbit state production,Open
ISS-038,Major,Output Range,hale_orbital-elements.ads:79-81,True_To_Mean_Anomaly no Post contract for output in [0 2*Pi),6.5.7 Computational Correctness,Add Post => Result >= 0.0 and Result < Two_Pi,Open
